,Filename,Current Docket,Docket Numbers,Public Employer,Union,County,Arbitrator,Date Received,Award Type,Current Status,Appellate Court,Supreme Court
168,IA-2010-41.pdf,IA-2010-039,IA-2010-039 & IA-2010-040 & IA-2010-041,NJ/State (State Police),State Troopers Frat Assn,,"Mastriani, J",09/29/2011,Conventional,Award Issued,,
169,IA-2012-2.pdf,IA-2012-002,IA-2012-002,Ho-Ho-Kus Boro,PBA Loc 353,Bergen,"Mason, F",09/28/2011,Conventional,Award Issued,,
170,IA-2010-26.pdf,IA-2010-026,IA-2010-026,Monmouth Cty,PBA Loc 240,Monmouth,"Restaino, G",09/27/2011,Conventional,Award Issued,,
171,IA-2012-1.pdf,IA-2012-001,IA-2012-001,Pt Pleasant Beach Boro,PBA Loc 106,Ocean,"Mastriani, J",09/19/2011,Conventional,Award Issued,,
172,IA-2008-29.pdf,IA-2008-029,IA-2008-029,Kearny,Deputy Police Chiefs Assn,Hudson,"Mastriani, J",09/09/2011,Conventional,Award Issued,,
173,PERC 2012-015.pdf,IA-2010-070,IA-2010-070 & IA-2010-069,Mercer Cty Prosecutor's Office,Mercer Cty Pros Sup Offrs Unit,Mercer,"Weisblatt, J",09/08/2011,Conventional,Appealed,,
174,IA-2010-69.pdf,IA-2010-070,IA-2010-070 & IA-2010-069,Mercer Cty Prosecutor's Office,Mercer Cty Pros Sup Offrs Unit,Mercer,"Weisblatt, J",09/08/2011,Conventional,Appealed,,
175,IA-2010-70.pdf,IA-2010-070,IA-2010-070 & IA-2010-069,Mercer Cty Prosecutor's Office,Mercer Cty Pros Sup Offrs Unit,Mercer,"Weisblatt, J",09/08/2011,Conventional,Appealed,,
176,PERC 2012-015.pdf,IA-2010-069,IA-2010-069 & IA-2010-070,Mercer Cty Prosecutor's Office,PBA Loc 339,Mercer,"Weisblatt, J",09/08/2011,Conventional,Appealed,,
177,IA-2010-69.pdf,IA-2010-069,IA-2010-069 & IA-2010-070,Mercer Cty Prosecutor's Office,PBA Loc 339,Mercer,"Weisblatt, J",09/08/2011,Conventional,Appealed,,
178,IA-2011-57.pdf,IA-2011-057,IA-2011-057,Englewood City,PBA Loc 216; Englewood Police SOA,Bergen,"Mason, F",09/06/2011,Conventional,Award Issued,,
179,IA-2011-58.pdf,IA-2011-058,IA-2011-058,Burlington Tp,FOP Lodge 84; Burlington Tp Police Assn (SOA),Burlington,"Mason, F",08/21/2011,Conventional,Award Issued,,
180,IA-2009-065.PDF,IA-2009-065,IA-2009-065,Camden,IAFF Loc 788,Camden,"Pierson, J",08/16/2011,Conventional,Appealed,,
181,Remand IA-2009-065.pdf,IA-2009-065,IA-2009-065,Camden,IAFF Loc 788,Camden,"Pierson, J",08/16/2011,Conventional,Appealed,,
182,PERC 2012-018.pdf,IA-2009-065,IA-2009-065,Camden,IAFF Loc 788,Camden,"Pierson, J",08/16/2011,Conventional,Appealed,,
183,IA-2009-65.pdf,IA-2009-065,IA-2009-065,Camden,IAFF Loc 788,Camden,"Pierson, J",08/16/2011,Conventional,Appealed,,
184,IA-2009-115.pdf,IA-2009-115,IA-2009-115,Burlington Cty,PBA Loc 249,Burlington,"Hundley, T",08/15/2011,Conventional,Award Issued,,
185,IA-2011-53.pdf,IA-2011-053,IA-2011-053,Denville Tp,PBA Loc 142,Morris,"Pierson, J",07/31/2011,Conventional,Award Issued,,
186,IA-2011-56.pdf,IA-2011-056,IA-2011-056,Mountain Lakes Boro,PBA Local 310,Morris,"Gifford, R",07/29/2011,Conventional,Award Issued,,
187,IA-2011-52.pdf,IA-2011-052,IA-2011-052,Hudson Cty Sheriff,FOP Lodge 127 SOA,Hudson,"Mastriani, J",07/25/2011,Conventional,Award Issued,,
188,IA-2009-73.pdf,IA-2009-073,IA-2009-073,Monmouth Cty Sheriff,PBA Loc 314,Monmouth,"Hartigan, T",06/15/2011,Conventional,Award Issued,,
189,IA-2010-3.pdf,IA-2010-004,IA-2010-004 & IA-2010-003,Camden Cty Sheriff's Office,PBA Loc 277,Camden,"Zausner, B",06/13/2011,Conventional,Award Issued,,
190,IA-2010-4.pdf,IA-2010-004,IA-2010-004 & IA-2010-003,Camden Cty Sheriff's Office,PBA Loc 277,Camden,"Zausner, B",06/13/2011,Conventional,Award Issued,,
191,IA-2010-3.pdf,IA-2010-003,IA-2010-003 & IA-2010-004,Camden Cty Sheriff's Office,PBA Loc 277 (Superiors),Camden,"Zausner, B",06/13/2011,Conventional,Award Issued,,
192,IA-2010-4.pdf,IA-2010-003,IA-2010-003 & IA-2010-004,Camden Cty Sheriff's Office,PBA Loc 277 (Superiors),Camden,"Zausner, B",06/13/2011,Conventional,Award Issued,,
193,PERC 2012-16.pdf,IA-2011-050,IA-2011-050,N Arlington Boro,PBA Loc 95,Bergen,"Mason, F",06/13/2011,Conventional,Appealed,,
194,IA-2011-050 2011.09.06.pdf,IA-2011-050,IA-2011-050,N Arlington Boro,PBA Loc 95,Bergen,"Mason, F",06/13/2011,Conventional,Appealed,,
195,PERC 2012-1.pdf,IA-2011-050,IA-2011-050,N Arlington Boro,PBA Loc 95,Bergen,"Mason, F",06/13/2011,Conventional,Appealed,,
196,IA-2011-50.pdf,IA-2011-050,IA-2011-050,N Arlington Boro,PBA Loc 95,Bergen,"Mason, F",06/13/2011,Conventional,Appealed,,
197,IA-2011-49.pdf,IA-2011-049,IA-2011-049,Waldwick Boro,PBA Loc 217,Bergen,"Mason, F",06/06/2011,Conventional,Award Issued,,
198,IA-2008-31.pdf,IA-2008-046,IA-2008-046 & IA-2008-031,Teaneck Tp,Teaneck SOA,Bergen,"Mastriani, J",06/06/2011,Conventional,Award Issued,,
199,IA-2008-46.pdf,IA-2008-046,IA-2008-046 & IA-2008-031,Teaneck Tp,Teaneck SOA,Bergen,"Mastriani, J",06/06/2011,Conventional,Award Issued,,
200,IA-2008-31.pdf,IA-2008-031,IA-2008-031 & IA-2008-046,Teaneck Tp,PBA Loc 215,Bergen,"Mastriani, J",06/06/2011,Conventional,Award Issued,,
201,IA-2008-46.pdf,IA-2008-031,IA-2008-031 & IA-2008-046,Teaneck Tp,PBA Loc 215,Bergen,"Mastriani, J",06/06/2011,Conventional,Award Issued,,
202,PERC 2011-085.pdf,IA-2011-048,IA-2011-048,Spotswood Boro,PBA Loc 225,Middlesex,"Mason, F",05/23/2011,Conventional,Appealed,,
